imdbId,title,releaseYear,releaseDate,genre,writers,actors,directors,sequel,hitFlop,primary_genre,primary_actor,primary_director,hitFlop_label,genre_enc,actor_enc,director_enc
tt2876408,Mr Joe B. Carvalho,2014,03 Jan 2014,Comedy,Arshad Sayyad,Arshad Warsi | Soha Ali Khan | Rajesh Balwani | Geeta Basra,Samir Tewari,0.0,1,Comedy,Arshad Warsi,Samir Tewari,Flop,4,64,533
tt2905838,Bang Bang,2014,02 Oct 2014,Action | Adventure | Comedy,Sujoy Ghosh (screenplay) | Suresh Nair (screenplay) | Patrick O'Neill (original story) | Abbas Tyrewala (dialogue),Hrithik Roshan | Katrina Kaif | Pavan Malhotra | Danny Denzongpa,Siddharth Anand,0.0,5,Action,Hrithik Roshan,Siddharth Anand,Average,0,171,601
tt2907156,Paranthe Wali Gali,2014,17 Jan 2014,Drama | Romance,Sachin Gupta,Mohinder Gujral | Yuvraj Haral | Vijayant Kohli | Neha Pawar,Sachin Gupta,0.0,1,Drama,Mohinder Gujral,Sachin Gupta,Flop,7,266,518
tt2912578,Ankur Arora Murder Case,2013,14 Jun 2013,Drama | Thriller,Vikram Bhatt | Shagufta Rafique (dialogue),Tisca Chopra | Paoli Dam | Arjun Mathur | Kay Kay Menon,Sohail Tatari,0.0,1,Drama,Tisca Chopra,Sohail Tatari,Flop,7,483,607
tt2929840,Zindagi 50 50,2013,24 May 2013,Drama,Bunty Rathore (dialogue) | Rajiv S. Ruia (story) | Rajiv S. Ruia | S. Sachinder (screenplay),Swati Aggarwal | Arya Babbar | Kurush Deboo | Adi Irani,Rajiv S. Ruia,0.0,1,Drama,Swati Aggarwal,Rajiv S. Ruia,Flop,7,474,460
tt2941856,Enemmy,2013,21 Jun 2013,Action | Crime | Drama,Dileep Shukla (dialogue) | Ashu Trikha (script) | Ashu Trikha,Mimoh Chakraborty | Mithun Chakraborty | Yuvika Chaudhry | Zakir Hussain,Ashu Trikha,0.0,1,Action,Mimoh Chakraborty,Ashu Trikha,Flop,0,259,109
tt2946506,It's Rocking: Dard-E-Disco,2012,09 Nov 2012,Comedy,,Asrani | Arun Bakshi | Dinesh Hingoo | Preeti Jain,Ashok Tyagi,0.0,1,Comedy,Asrani,Ashok Tyagi,Flop,4,79,108
tt2951576,One by Two,2014,31 Jan 2014,Comedy | Drama | Romance,Devika Bhagat (dialogue) | Devika Bhagat (story) | Manoj Tapadia (dialogue),Abhay Deol | Preeti Desai | Lillete Dubey | Rati Agnihotri,Devika Bhagat,0.0,1,Comedy,Abhay Deol,Devika Bhagat,Flop,4,7,157
tt2976172,Sixteen,2013,12 Jul 2013,Drama | Romance | Thriller,Raj Purohit | Pawan Sony,Wamiqa Gabbi | Izabelle Liete | Mehak Manwani | Highphill Mathew,Raj Purohit,0.0,1,Drama,Wamiqa Gabbi,Raj Purohit,Flop,7,515,433
tt2976176,Lakshmi,2014,21 Mar 2014,Drama,Nagesh Kukunoor,Vibha Chhibber | Ram Kapoor | Satish Kaushik | Gulfam Khan,Nagesh Kukunoor,0.0,1,Drama,Vibha Chhibber,Nagesh Kukunoor,Flop,7,493,354
tt2978626,Entertainment,2014,08 Aug 2014,Comedy,Farhad (screenplay) | Sajid (screenplay) | K. Subhash (story),Akshay Kumar | Tamannaah Bhatia | Johnny Lever | Prakash Raj,Farhad | Sajid,0.0,2,Comedy,Akshay Kumar,Farhad,Flop,4,26,170
tt2980794,Highway,2014,21 Feb 2014,Drama | Romance,Imtiaz Ali,Alia Bhatt | Randeep Hooda | Durgesh Kumar | Arjun Malhotra,Imtiaz Ali,0.0,3,Drama,Alia Bhatt,Imtiaz Ali,Average,7,31,214
tt2988272,Shuddh Desi Romance,2013,06 Sep 2013,Comedy | Drama | Romance,Jaideep Sahni,Sushant Singh Rajput | Parineeti Chopra | Vaani Kapoor | Rishi Kapoor,Maneesh Sharma,0.0,6,Comedy,Sushant Singh Rajput,Maneesh Sharma,Hit,4,470,312
tt2998196,Kuku Mathur Ki Jhand Ho Gayi,2014,30 May 2014,Comedy | Romance,,Siddharth Gupta | Simran Kaur Mundi | Pallavi Batra | Roopa Ganguly,Aman Sachdeva,0.0,1,Comedy,Siddharth Gupta,Aman Sachdeva,Flop,4,439,47
tt3001638,Mary Kom,2014,05 Sep 2014,Biography | Drama | Sport,Saiwyn Qadras (story) | Ramendra Vasishth (dialogue) | Karan Singh Rathore (dialogue),Priyanka Chopra | Zachary Coffin | Darshan Kumaar | Darshan Kumar,Omung Kumar,0.0,5,Biography,Priyanka Chopra,Omung Kumar,Average,3,315,372
tt3005850,Sooper Se Ooper,2013,25 Oct 2013,Comedy,Shekhar Ghosh,Tinnu Anand | Mahesh Balraj | Mithilesh Chaturvedi | Vir Das,Shekhar Ghosh,0.0,1,Comedy,Tinnu Anand,Shekhar Ghosh,Flop,4,482,583
tt3017412,Happy Ending,2014,21 Nov 2014,Comedy | Romance,Raj Nidimoru (story) | Krishna D.K. (story) | Sita Menon (story) | Raj Nidimoru (screenplay) | Krishna D.K. (screenplay) | Sita Menon (screenplay) | Hussain Dalal (dialogue),Saif Ali Khan | Ileana | Kalki Koechlin | Ranvir Shorey,Krishna D.K. | Raj Nidimoru,0.0,1,Comedy,Saif Ali Khan,Krishna D.K.,Flop,4,388,281
tt3021244,Chaarfutiya Chhokare,2014,26 Sep 2014,Drama | Thriller,Manish Harishankar,Soha Ali Khan | Zakir Hussain | Seema Biswas | Mukesh Tiwari,Manish Harishankar,0.0,1,Drama,Soha Ali Khan,Manish Harishankar,Flop,7,444,317
tt3031896,Lakeer ka Fakeer,2013,14 Jun 2013,Crime,,Vicky Ahuja | Ajaz Khan | Maarisha | Javed Rizvi,Zubair Khan,0.0,1,Crime,Vicky Ahuja,Zubair Khan,Flop,5,495,716
tt3036740,Humshakals,2014,20 Jun 2014,Comedy,Sajid Khan (story) | Robin Bhatt (screenplay) | Sajid Khan (screenplay) | Akarsh Khurana (screenplay) | Adhir Bhatt (additional dialogue),Saif Ali Khan | Ritesh Deshmukh | Ram Kapoor | Bipasha Basu,Sajid Khan,0.0,2,Comedy,Saif Ali Khan,Sajid Khan,Flop,4,388,526
tt3038772,Kaanchi,2014,25 Apr 2014,Drama | Musical | Romance,Subhash Ghai,Kartik Tiwari | Mishti | Rishi Kapoor | Mithun Chakraborty,Subhash Ghai,0.0,1,Drama,Kartik Tiwari,Subhash Ghai,Flop,7,216,618
tt3044882,Nasha,2013,26 Jul 2013,Drama | Romance | Thriller,Ajit Rajpal,Ranbir Chakma | Nikhil Desai | Raj Kesaria | Rohan Khurana,Amit Saxena,0.0,2,Drama,Ranbir Chakma,Amit Saxena,Flop,7,350,51
tt3045946,Tara: The Journey of Love and Passion,2013,12 Jul 2013,Drama,,Brijesh Kori | Sapna Choubisa | Shreechand Makhija | Rohit Raj,Kumar Raj,0.0,1,Drama,Brijesh Kori,Kumar Raj,Flop,7,107,285
